company_name,founded,city,industry,about,founders,investor,amount,series
Inshorts,2013.0,Noida,Media,Inshorts is a news aggregator application that collects and summarizes news based on user behavior and preferences.,"Anunay pandey, azhar iqubal, deepit purkayastha","Addition, sig global india fund","40,000,000",
Moengage,2014.0,Bangalore,Software startup,Insights-led customer engagement platform for the customer-obsessed marketers & product owners.,"Raviteja dodda, yashwanth kumar",Steadview capital,30000000,Series d
Filo,2020.0,New delhi,Edtech,Instant learning platform for students while self study.,"Imbesat ahmad, shadman anwer",Better capital,"260,000",Pre-seed
Smoor,2008.0,Bangalore,Food & beverages,Instigate your sixth sense with our new range of chocolates.,Vimal sharma,Klub,undisclosed,
Instoried,2018.0,Bangalore,Content creation,Instoried is an augmented writing platform which improves customer interest and engagement.,"Sharmin ali, sutanshu raj","Expert dojo, mumbai angels",Undisclosed,
Dezerv.,2021.0,Mumbai,Investment management,"Integrated portfolios designed by experts with decades of investing, unique access to pre-ipo and startup investing","Sandeep jethwani, vaibhav porwal, sahil contractor","Elevation capital, matrix partners india",7000000,Seed
Intellewings,2019.0,Panchkula,It startup,"Intellewings develops sanctions & anti-money laundering solutions with a clear, concise, and fresh perspective.",Pramod sharma,,100000,Seed
Peppermint,2019.0,Pune,Industrial automation,Intelligent housekeeping robots for public and working spaces,"Runal dahiwade, miraj c vora","Venture catalysts, indian angel network",600000,
Pathfndr.io,2015.0,Bangalore,Saas startup,Intelligent travel tech stack making sense of the world's information by scanning billions of data points and ranking destinations,Varun gupta,Arali ventures,undisclosed,Pre-series a
Udayy,2019.0,Gurgaon,Edtech,Interactive learning platform for kids,"Saumya yadav, mahak garg, karan varshney",Alpha wave incubation,"2,500,000",Seed
Leap finance,2019.0,Bangalore,Financial services,International education loans for high potential students.,"Arnav kumar, vaibhav singh",Owl ventures,55000000,Series c
Inzpira,2021.0,Trivandrum,E-learning,"Inzpira is india's only live online 1:1 platform for language learning & test preparation that lets users instantly connect with expert trainers and learn anytime, from anywhere.","Rohith namboothiri, sruthy ramesh","Raj nair, gopinath latpate",300000,Seed
Ixambee,2016.0,New delhi,Edtech,Ixambee is to provide best online learning experience for preparation of competitive exams.,Chandraprakash joshi,"Mumbai angels, narendra shyamsukha","300,000",Seed
Bizongo,2015.0,Mumbai,B2b ecommerce,Izongo is india’s largest b2b platform for made-to-order products.,"Sachin agrawal, aniket deb, ankit tomar",Tiger global,100000000,Series d
Jai kisan,2017.0,Mumbai,Fintech,Jai kisan is a fintech platform that provides sustainable financing for rural emerging markets,"Adriel maniego, arjun ahluwalia","The chatterjee group, prophetic ventures","30,000,000",Series a
Janani,2020.0,Bangalore,Heathcare,Janani.ai is a fertility care provider.,Nilay mehrotra,"Sweta rau, 9unicorns accelerator fund","1,000,000",Seed
Jeevam health,2020.0,New delhi,Health care,Jeevam health is an online medical clinic to cure root cause of chronic issues in india.,"Kamran alam, piyush vishwakarma",Y combinator,"1,500,000",Pre-seed
Jetsynthesys,2014.0,Pune,Media,"Jetsynthesys is the group's most innovative company in the promising digital and technology business world with a vision to create world class digital products, platforms and services in india",Rajan navani,Sachin tendulkar,2000000,
Juicy chemistry,2014.0,Coimbatore,Healthcare,Juicy chemistry operates as an eponymous consumer brand.,"Megha, pritesh asher.",Akya ventures,"6,300,000",Series a
Juicy chemistry,2014.0,Coimbatore,Healthcare,Juicy chemistry operates as an eponymous consumer brand.,"Megha, pritesh asher",Spring marketing capital,undisclosed,
Jumbotail,2015.0,Bangalore,E-commerce,Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,"Ashish jhina, karthik venkateswaran",Alteria capital,4000000,Debt
Jumbotail,2015.0,Bangalore,B2b ecommerce,"Jumbotail is india's leading b2b marketplace and new retail platform, serving thousands of mom & pop stores","S karthik venkateswaran, ashish jhina",Invus,85000000,Series c
Jumbotail,2015.0,Bangalore,Food and beverages,"Jumbotail is solving an important problem of organising food and grocery ecosystem in india through technology, data science and design.","Ashish jhina, karthik venkateswaran","Nexus venture partners, 23 high networth individuals (hnis)","14,300,000",Series b3
Junio,2020.0,New delhi,Fintech,Junio is a kids-focused digital pocket money-smart card.,Ankit gera,"Amit lakhotia, pravin jadhav",600000,Seed
Junio,2020.0,New delhi,Edtech,Junio is a kids-focused digital pocket money-smart card.,Shankar nath,"Kunal shah, deepak abbot","1,000,000",
Neobank jupiter,2019.0,Mumbai,Banking,Jupiter is a digital banking app with one simple aim – to deliver a banking experience that keeps pace with you.,Jitendra gupta,"Tiger global, sequoia capital",86000000,Series c
Gtm buddy,2020.0,Hyderabad,Computer software,Just-in-time sales enablement platform,"Sreedhar peddineni, santa thounaojam, sundar vellaichamy, chandramani tiwary",Stellaris venture partners,2000000,Seed
Kaar technologies,2005.0,Chennai,Information technology & services,"Kaar technologies is an sap global consultancy firm that designs, delivers and deploys cutting-edge sap solutions for businesses around the world.",Maran nagarajan,Blacksoil,4000000,
Kafqa academy,2021.0,Bangalore,E-learning,"Kafqa academy is a global performing arts academy that offers classes in dancing, singing, and speech & drama.",Shariq plasticwala,"Global founders capital, enzia ventures, better capital",1300000,Seed
Kale logistics,2010.0,Thane,Logistics,Kale logistics solutions is a global it solutions provider focused on providing cutting-edge technology solutions to the logistics industry.,"Amar more, vipul jain",Inflexor ventures,5000000,Series a
Karbon card,2019.0,Bangalore,Fintech,Karbon card is a financial platform for indian entrepreneurs.,"Amit jangir, bo li, jianwei chen, kartik jain, pei-fu hsieh, sunil kumar","Myasia vc, orios venture partners","1,000,000",Pre-series a
Karkhana.io,2018.0,Mumbai,Manufacturing startup,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,Sonam motwani,Zone startups in,"1,500,000",Seed
Kazam,2020.0,Bangalore,Ev startup,"Kazam provides end to end electric vehicle charging solutions for office spaces, apartments, restaurants, shops","Akshay shekhar, vaibhav tyagi",Inflection point ventures,900000,Seed
Keeros,2017.0,Lucknow,Food & beverages,"Keeros roasted supersnacks that are healthy for all, safe for diabetics.","Sachin sahni, simran sahni",Venture catalysts,undisclosed,Pre-series a
Keka hr,2014.0,Hyderabad,Information technology & services,Keka is a simple and intuitive hr software unlike the traditional hr systems.,Vijay yalamanchili,Recur club,1600000,
Khabri,2017.0,Gurugram,Media,Khabri is india’s fastest growing vernacular audio platform targeted at next billion internet users.,"Pulkit sharma, aankit roy, sandeep singh",,2000000,Pre-series a
Khatabook,2018.0,Bangalore,Financial services,Khatabook is the world's fastest-growing saas company. it has become india's leading business management app for msmes with 50m+ downloads in a remarkably short period of time.,"Ravish naresh, ashish sonone","Tribe capital, moore strategic ventures (msv)",100000000,Series c
Kiko tv,2020.0,Mumbai,E-commerce,Kiko tv is an ai-based short live video e-commerce platform.,Shivam varshney,"Sunil kumar singhvi, 9unicorns accelerator fund",Undisclosed,Pre-series a
Kinara capital,2011.0,Bangalore,Fintech,Kinara capital is a financing company that provides flexible collateral-free loans to small business entrepreneurs.,Hardika shah,"Gawa capital, gaja capital","6,000,000",
Klassroom,2016.0,Mumbai,Edtech,Klassroom offers a one-of-a-kind live interactive learning experience to students.,Alka javeri,Ah! ventures,"200,000",Pre-series a
Klub,2019.0,Bangalore,Financial services,Klub was founded with the vision of revolutionizing growth capital for asia’s most loved brands.a,"Anurakt jain, ishita verma","9unicorns, sequoia capital india’s surge",20000000,
Knackit,2019.0,Bangalore,It startup,Knackit is a talent sharing platform where users can showcase and monetize their artistry.,"Pranjal kumar, akanksha bhardwaj",Jyoti bansal,100000,
Knocksense,2016.0,Lucknow,Online media,Knocksense is a local news and recommendations platform.,"Varul mayank, vibhore mayank","We founder circle, appyhigh, mumbai angels",150000,
Knocksense,2016.0,Lucknow,Media,Knocksense which owns and operates an eponymous digital content platform.,"Varul mayank, vibhore mayank, vibhore mayank","Mumbai angels, amitesh pandey","200,000",
Isgoingonline,2015.0,Cochin,Retail,Kochi-based digital catalogue and marketplace isgoingonline,Eobin alex,"Unicorn india ventures, sea fund, devdatt shah",200000,Pre-series a
Isgoingonline,2015.0,Cochin,Retail,Kochi-based digital catalogue and marketplace isgoingonline,Eobin alex,"Unicorn india ventures, sea fund, devdatt shah",200000,
Kodo card,2019.0,Mumbai,Fintech,Kodo card is a corporate card for new economy businesses in india.,"Deepti sanghi, gaurav thapa","Brex, y-combinator","8,000,000",Seed
Kohbee,2019.0,Bangalore,E-learning,"Kohbee is a mobile app for online trainers and educators to run their online business, end to end.","Rohan sinha, shashwat aditya","Ankit mehrotra, saurabh aggarwal",235000,Pre-seed
Koinearth,2018.0,Bangalore,Blockchain startup,"Koinearth is a stealth mode startup working at the intersection of blockchains, machine learning and mechanism design",Praphul chandra,Yournest,"1,800,000",Pre-series a
Koo,2020.0,Bangalore,Blogging,Koo app operates as a microblogging app.,"Mayank bidawatka, aprameya radhakrishna","3one4 capital, accel","4,100,000",Series a
Koo,2020.0,Bangalore,Social media,Koo app operates as a microblogging app.,"Aprameya radhakrishna, mayank bidawatka","Balaji srinivasan, naval ravikant","30,000,000",Series b
Koparo,2020.0,New delhi,Consumer goods,Koparo is a direct-to-consumer brand that is addressing the needs of modern indian families and their homes.,Simran khara,"Saama capital﻿, ﻿titan capital﻿, dsg consumer partners",700000,Seed
Kredent,2008.0,Kolkata,Edtech,Kredent academy is the unique concept where financial market professionals have taken the onus of creating a strong knowledge bank in their area of expertise,"Vineet patawari, vivek bajaj, vinay pagaria",Kotak securities,1000000,
Kreditbee,2018.0,Bangalore,Fintech,Kreditbee is a digital lending platform developed to assist young professionals with their personal finances.,"Karthikeyan krishnaswamy, madhusudan ekambaram, wan hong","Alpine capital, premjiinvest","75,000,000",Seed
Kreditbee,2018.0,Bangalore,Fintech,Kreditbee is a digital lending platform developed to assist young professionals with their personal finances.,"Karthikeyan krishnaswamy, madhusudan ekambaram, wan hong","Newquest capital partners, motilal oswal private equity",8000000,
Kreditbee,2018.0,Bangalore,Fintech,Kreditbee is an instant personal loan platform for young professionals.,Madhusudan ekambaram,"Premji invest, mirae asset naver asia growth fund, alpine capital","75,000,000",Series c
Kudos,2014.0,Pune,Fintech,"Kudos is a full stack nbfc, a digital lending engine with an in-built api lending protocol layer of over 20+ api’s.",Naresh vigh,Marquee fintech founders,Undisclosed,Pre-series a
Kutuki,2017.0,Bangalore,Edtech,Kutuki is a learning platform focused on children between the ages of three and seven.,"Bharath bevinahally, sneha sundaram",Omidyar network india,"2,000,000",Seed
Kutumb,2020.0,Bangalore,Community platform,Kutumb is a social community enabler.,"Mohit sharma, naveen dewangan, vipul allawadhi","Tiger global management, dst global",26000000,Series a
Kwik foods,2020.0,Gurugram,Food & beverages,Kwik foods is one of the fastest-growing d2c fresh food brands that is disrupting the food industry,"Prabhleen kaur, harshal patel",9unicorns,undisclosed,Seed
Lead school,2012.0,Mumbai,Edtech,Lead school offers technology based school transformation system that assures excellent learning for every child.,"Smita deorah, sumeet mehta","Gsv ventures, westbridge capital","30,000,000",Series d
Leadsquared,2011.0,Bangalore,Computer software,"Leadsquared is a marketing automation and sales execution platform that helps businesses increase their closures, manage their pipelines",Nilesh patel,International finance corporation,undisclosed,
Leap finance,2019.0,Bangalore,Fintech,Leap finance is a fintech startup for indian students pursuing international higher education,Vaibhav singh,Jungle ventures,"17,000,000",Series b
Learnvern,2016.0,Ahmadabad,Edtech,Learnvern.com is a training portal where anyone can learn any course in vernacular languages for free.,"Niral modi, aditi modi",,"1,000,000",
Legalwiz.in,2015.0,Ahmedabad,Legaltech,"Legalwiz.in is committed to provide high quality professional services for small businesses, start-up entrepreneurs and individuals.","Shrijay sheth, gaurav barot",Contcentric,"500,000",
Legitquest,2017.0,New delhi,Legaltech,Legitquest is a legal-tech company that operates a legal research platform with indian case laws.,"Himanshu puri, karan kalia, rohit shukla","Waterbridge ventures, info edge","600,000",
Lendingkart,1999.0,Gujarat,Fintech,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with working capital loans.,"Harshvardhan lunia, mukul sachan","Bertelsmann india investments, fullerton financial holdings","15,000,000",Debt
Lenskart,2010.0,"Faridabad, haryana",Fashion,Lenskart is an india-based online shopping portal for eyewear.,"Amit chaudhary, peyush bansal","Kohlberg kravis roberts, temasek holdings","95,000,000",
Seevc,2020.0,New delhi,Tech startup,Leverages artificial intelligence (ai) to build products for the education sector,"Shivam sood, lark aakarshan",Jimmy singh,"1,000,000",Seed
Licious,2015.0,Bangalore,Food & beverages,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Abhay hanjura, vivek gupta","Temasek, multiples pe",192000000,Series f
Licious,2015.0,Bangalore,Food & beverages,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Vivek gupta, abhay",,52000000,Series g
Lido learning,2019.0,Mumbai,E-learning,Lido is an  ed-tech company revolutionizing formal classroom education through a unique and immersive online classroom for every child in india.,Sahil sheth,Unilazer ventures,10000000,
Limechat,2020.0,"Faridabad, haryana",Ai chatbot,Limechat provides a personalised shopping experience for d2c companies on chat platforms using l3 conversational ai.,"Aniket bajpai, nikhil gupta","Stellaris venture partners, ramakant sharma","7,500,000",Seed
Lio,2020.0,Pune,Computer software,"Lio is the one app for all data where you can create, keep records and track all the records",Anupam vijayvergia,"Lightspeed, sequioa",5000000,Seed
Genext students,2013.0,Mumbai,Edtech,"Live online classes with expert tutors for k-12 for cbse, icse and state boards.","Ali asgar kagzi, piyush dhanuka",Navneet education,undisclosed,
Livquik technology,2012.0,Mumbai,Financial services,Livquik’s vision is to enable the efficient movement of money.,Mohit lalvani,M2p fintech,4000000,
Xpand,2021.0,New delhi,Retail,Lmce handholds brands and enables their reach across the unserved & under-served pockets of the country in a sustainable manner to drive measurable growth.,Sanjay kaul,"Akash prakash, madhu jayakumar, dipinder sandhu, shagun khandelwal",1500000,Pre-series a
Loankuber,2016.0,New delhi,Digital mortgage,Loankuber is the lowest cost lender to yest-to be bankable - enabling borrowing with trust and confidence.,Saurabh nagpal,,1200000,Pre-series a
Locale.ai,2019.0,Bangalore,Location analytics,Location analytics for companies with moving assets and ground operations.,"Rishabh jain, aditi sinha","Chiratae ventures, better capital",1000000,
Loco,2018.0,Bangalore,Gaming,Loco is india's leading live game streaming app.,"Anirudh pandita, ashwin suresh","Krafton, lumikai",9000000,Seed
Locobuzz,2011.0,Mumbai,Analytics,Locobuzz is an analytics-based integrated marketing platform.,Vishal agrawal,Yuj ventures,"4,000,000",Series a
Locus,2015.0,Bangalore,Logistics,Locus is an intelligent decision-making and automation platform for logistics.,"Geet garg, nishith rastogi","Blume ventures, exfinity venture partners",50000000,Series c
Log 9 materials,2014.0,Bangalore,Deeptech,Log9 materials is on a mission to make global energy 100% clean.,"Akshay singhal, kartik hajela",Amara raja batteries,8500000,Series a+
Log 9 materials,2014.0,Bangalore,Nanotechnology,Log9 materials is on a mission to make global energy 100% clean.,Akshay singhal,Petronas ventures,2000000,
Lohum,2017.0,Noida,Ev startup,Lohum manufactures lithium-ion battery packs and recovers critical battery materials from used lithium-ion batteries through recycling.,Rajat verma,"Baring private equity partners india, talbros","7,000,000",
Optimized electrotech,2017.0,Ahmadabad,Aeorspace,"Long distance, multispectral surveillance equipment for defense, aerospace, critical asset protection","Anil yekkala, dharin shah, kuldeep saxena, purvi shah, sandeep shah",Gvfl,"1,800,000",Pre-series a
Lovelocal,2015.0,Mumbai,Retail,Lovelocal (formerly known as m.paani) is bringing trusted local shops online and empowering them to deliver the neighbourhood shopping experience of the future.,Akanksha hazari,Vulcan capital,18000000,Pre-series b
Lysto,2021.0,Bangalore,Nft,"Lysto is building apis, tools & infrastructure to enable the creation & distribution of nfts across platforms with a few clicks or few lines of code.",Sadiq ahamed,Beenext,3000000,Seed
M1xchange,2017.0,Gurugram,Fintech,M1 an online exchange for treds set up under the approval rbi to facilitate discounting of invoices on a pan india basis.,Sundeep mohindru,Amazon,"10,000,000",
M2p fintech,2015.0,Chennai,Financial services,"M2p fintech was born out of the need to build highly scalable, secure yet nimble technology stack at the intersection of mobility, commerce and payments.",Madhusudanan r,Tiger global,35000000,Series c
Magenta ev,2017.0,Mumbai,Renewable energy,Magenta is in the business of enabling electric mobility & making electricity clean,"Maxson lewis, darryl dias","Jito angel network, letsventure","15,000,000",Series a
Mailmodo,2020.0,Bangalore,Marketing & advertising,Mailmodo is a complete email marketing solution enabling users to create and send app-like interactive emails to improve email conversions.,"Aquibur rahman, apurv gupta, devyesh tandon","Sequoia’s surge, y combinator",2000000,Seed
Insane ai,2021.0,Bangalore,Fitness,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,"Anurag mundhada, jayesh hannurkar, sourabh agrawal",Pi ventures,800000,Seed
Eggoz,2017.0,Gurugram,Food & beverages,Make a meaningful impact to improve the protein consumption of people by enriching the lives of the rural egg farmers.,"Abhishek negi, uttam kumar, aditya singh, pankaj pandey","Nabventures, avaana capital",3500000,Series a
Mentza,2020.0,Mumbai,E-learning,"Make great conversations accessible to everyone through a vibrant, small, safe, and easy real-time audio platform","Anurag vaish, tapasi mittal, fareesh vijayarangam, anand parameswaran, divya balakrishnan",Inflection point ventures,400000,Seed
Goodmylk,2015.0,Bangalore,Food & beverages,Make plant-based food affordable and accessible in india.,Abhay rangan,"Jinisha sharma, aditya agarwal, victoria, abhishek shroff",1000000,Seed
Shopse,2020.0,Mumbai,Fintech,Make purchases online or at neighborhood store in easy emis through shopse.,"Pallav jain, abhishek nimonkar, yagnesh desai","Chiratae ventures, beenext","5,500,000",
Makers hive,2018.0,Hyderabad,Tech startup,"Makers hive has made it possible to bring the people with amputations together by developing a fully functional, customizable",Pranav vempati,"Starfish growth partners, investpad","9,000,000",
Stockgro,2020.0,Bangalore,Fintech,Making investment social- india's first social trading platform,Ajay lakhotia,"Roots ventures, velo partners",5000000,Pre-series a
Practically,2018.0,Telangana,Edtech,"Making learning personal, immersive and experiental",Subbarao siddabattula,Siana capital,"4,000,000",Pre-series b
Happy jars,2016.0,New delhi,Food & beverages,"Manufacture and retail a delicious range of all-natural nut butters, made without oil, sugar or preservatives.","Surabhi talwar, vikram sekhar",Inflection point ventures,"400,000",Seed
Marketwolf,2017.0,Mumbai,Financial services,"Marketwolf provides everyone an opportunity to begin their trading journey with a unique digital platform that is bold, simple and fun.","Vishesh dhingra, thomas joseph","Anil thadani, ashutosh sinha, roy van leeuwen",5500000,Seed
Masai school,2019.0,Bangalore,Edtech,Masai school is a job-oriented software training services.,Prateek shukla,"Unitus ventures, omidyar network india","5,000,000",Series a
Max healthcare,2000.0,New delhi,Healthcare,Max healthcare is one of the leading chain of hospitals in india.,Analjit singh,"Radiant life care private ltd, life healthcare","140,000,000",
Maya,2016.0,Bangalore,Healthtech,Maya enables women to keep track of their health via a mobile application.,John paul,Rajan anadan,"2,200,000",Seed
Blaer motors,2014.0,Chennai,Mobility,Meant to augment human power and not completely replace it,Abinesh ekambaram,The chennai angels,300000,
Meddo,2018.0,Gurugram,Healthcare,Meddo (arctern healthcare) are re-defining how primary and secondary healthcare is provided in india through a connected care delivery platform.,"Saurabh kochhar, dr naveen nishchal","Sri capital, picus capital, alkemi capital",6000000,
Meddo,2018.0,Gurgaon,Healthcare,Meddo is an end-to-end medical services provider,Saurabh kochhar,"Growx ventures, venture gurukool","3,000,000",Pre-series a
Medibuddy,2000.0,Bangalore,Edtech,"Medibuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.",Satish kannan,"Innoven capital, teamfund","3,000,000",Debt
Medibuddy,2000.0,Bangalore,Heathcare,"Medibuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.","Satish kannan, enbasekar","Stride ventures, innoven capital",3000000,
Medibuddy,2000.0,Bangalore,Healthtech,Medibuddy is a trusted digital platform for cashless healthcare. medibuddy connects patients with doctors and hospitals.,"Atish kannan, enbasekar","Idfc private equity, bessemer venture partners","40,000,000",Series b
Karkinos healthcare,2020.0,Mumbai,Hospital & health care,"Medical center for treatment of complex cancers; and research center which leverages technologies such as genomics, synthetic biology, sensors, and ai to analyze data and leading to the development of  affordable cancer interventions.","R venkataramanan, ravi kant",Reliance digital health,undisclosed,
Medikabazaar,2014.0,Mumbai,Healthtech,"Medikabazaar, india’s pioneering and largest online b2b marketspace for medical supplies and equipment.","Vivek tiwari, ketan malkan","Cdc group, creaegis",75000000,Series c
Medpay,2020.0,Bangalore,Information technology,Medpay® is building the real-time claims adjudication platform for health insurers.,"Arun bhatia, ravi chandra","Entrepreneur first (ef), growx ventures",1200000,Seed
Medpho,2021.0,Noida,Hospital & health care,Medpho is a healthcare service provider in india that connects doctors and patients at the click of a call.,Shashank saini,"Cygnus medicare group, probal ghoshal, shuchin bajaj",1000000,
Medprime technologies,2014.0,Thane,Healthcare,"Medprime technologies is a medical device company, dedicated to developing the best, customer-centric solutions for the healthcare needs of the world.","Samrat, greeshma unnikrishnan, binil jacob, mahesh kumar rathor","Mumbai angels network, social alpha",undisclosed,Seed
Meesho,2015.0,Bangalore,Social commerce,Meesho is india’s largest marketplace for longtail products.,"Sanjeev barnwal, vidit aatrey","Fidelity, b capital",570000000,
Meesho,2015.0,Bangalore,E-commerce,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"Sanjeev barnwal, vidit aatrey","Saif partners, venture highway","300,000,000",
Mensa brands,2021.0,Bangalore,Clothing,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.",Ananth narayanan,"Accel partners, falcon edge capital, norwest venture partners","50,000,000",Series a
Mensa,2021.0,Bangalore,D2c,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.",Ananth narayanan,"Alpha wave ventures, falcon edge capital",135000000,Series b
Mentoria,2015.0,Mumbai,Edtech,Mentoria is a holistic career discovery platform that enables students to discover themselves and the careers they will enjoy and excel at.,"Ashish arora, nikhar arora, sameer bhakhri","Pradeep k jaisingh, jayant mehrotra","200,000",Pre-series a
Mentorkart,2018.0,New delhi,Consulting,Mentorkart™ helps to fulfil dreams and take that big step towards success.,"Ashish khare, sk mohanty","Amit singal, manish aggarwal",150000,Seed
Redesyn,2016.0,Mumbai,Merchandise,"Merchandise drop-shipping platform for influencers, designers, creators & brands.","Smriti dubey, shikhar vaidya",Anthill ventures,300000,Pre-series a
Mergerdomo,2018.0,New delhi,Investment banking,Mergerdomo is the one-stop global online m&a marketplace for corporate and business growth,Hormazd charna,Nadir b godrej,500000,
Mestastop solutions,2018.0,Bangalore,Biotechnology,"Mestastop aims to provide a solution for such challenges with their unique proprietary platforms, metassay, metscan, and metvivo.",Dr arnab roy chowdhury,Ciie.co,100000,
Metadome,2017.0,Bangalore,Computer software,"Metadome (formerly adloid), is a metaverse, that provides no-code infrastructure to millions of creators & brands, to build immersive experiences for the virtual world.","Kanav singla, prashant sinha, shorya mahajan","Chiratae ventures, lenskart vision fund",4000000,Pre-series a
Method & madness,2020.0,Mumbai,Real estate,Method & madness technology operates as a real-estate tech company.,Aditya jhaveri,Justin mateen,"2,000,000",Seed
Mfine,2017.0,Bangalore,Hospital & health care,"Mfine aims to make access to trusted healthcare simple, fast, and effective.","Prasad kompalli, ashutosh lawania","Moore strategic ventures, beenext",48000000,Series c
Mfine,2017.0,Bangalore,Health care,Mfine is an health-tech startup that offers an ai-powered online doctor consultation app.,"Ajit narayanan, ashutosh lawania, prasad kompalli","Blockchain capital, sbi ven capital","16,000,000",
Mhealth,2020.0,New delhi,"Health, wellness & fitness",Mhealth  is ai based corporate wellness platform  to spread happiness & well-being,"Rajesh munjal, balwinder singh, monika garg",India accelerator,undisclosed,Seed
Microdegree,2019.0,Mangalore,Edtech,Microdegree is an ed-tech platform working towards democratising technology and job ready skills for bharat.,"Gaurav kamath, rakesh kothari, manikanta nair",Research innovation incubation design labs,undisclosed,
Miko,2015.0,Mumbai,Robotics,"Miko is an advanced robotics startup focusing on robotics, ai & iot.","Chintan raikar, prashant iyengar, sneh vaswani","Chiratae ventures, yournest venture capital","6,000,000",
Miko,2015.0,Mumbai,Consumer electronics,"Miko is an advanced robotics startup founded by three iit bombay post-graduates on the pillars of robotics, ai & iot.","Sneh r vaswani, prashant v iyengar, chintan s raikar","Iifl amc, mankind pharma family office, aroa ventures",28000000,
Mindhouse,2019.0,Gurugram,"Health, wellness & fitness",Mindhouse is a yoga & nutrition driven personalized healthcare platform.,"Pooja khanna, pankaj chaddah","Binny bansal, general catalyst",6000000,Seed
Mindler,2015.0,New delhi,Edtech,Mindler is a career counseling company that provides career development guidance counseling services for students.,Prateek bhargava,"Inflection point ventures, dlabs","1,000,000",Pre-series a
Arcatron mobility,2015.0,Pune,Healthcare,Mission is to advance global standards of assisted living and make it dignified and safer.,Ganesh sonawane,Klub,undisclosed,
Zupee,2018.0,Gurugram,Gaming,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications","Dilsher singh, siddhant saurabh","Westcap group, tomales bay capital",30000000,
Skillovilla,2020.0,Bangalore,Edtech,Mission to support young graduates in enhancing their learnings and transform them into big earnings.,"Ronak agrawal, rajat agrawal, deepak kharol",Titan capital,"300,000",Seed
Phable,2017.0,Bangalore,Healthtech,Mobile app for patients and doctors,"Mukesh bansal, prasanth reddy, sumit sinha","Fresco capital, social starts","12,000,000",Series a
Mpl,2018.0,Bangalore,Sports,"Mobile premier league (mpl), is india’s largest esports and mobile gaming platform, with over 50+ games on its app on ios and android, and over 60 million users in india.","Sai srinivas kiran gv, shubh malhotra",Legatum capital,,Series e
Mpl,2018.0,Bangalore,Gaming,Mobile premier league is a skill-based esports platform used to offer cash prizes while playing games.,"Sai srinivas kiran g, shubham malhotra","Pegasus tech ventures, base partners","95,000,000",
Mpl,2018.0,Bangalore,Gaming,Mobile premier league is a skill-based esports platform used to offer cash prizes while playing games.,"Sai srinivas kiran g, shubham malhotra","Pegasus tech ventures, base partners","5,000,000",
Mohalla tech,2015.0,Bangalore,Social media,"Mohalla tech pvt. ltd. is a computer software company based out of bengaluru, india.","Ankush sachdeva, bhanu pratap singh",Alkeon capital,266000000,Series g
Moneyboxx,1994.0,Mumbai,Fintech,Moneyboxx finance provides easy access to financing to the deserving micro enterprises.,Deepak aggarwal,"Ashv finance, blacksoil capital","3,000,000",Debt
Moneyhop,2018.0,London,Financial services,Moneyhop is india’s first cross-border neo bank.,Mayank goyal,,1200000,Seed
Msmex,2019.0,Andheri,Edtech,Msmex connects micro and small business owners with curated business experts over live video.,"Amit kumar, vishal kumar, dilip kumar, khushboo arora, kumar sambhav","Tnf ventures, razorpay",1000000,Pre-series a
Saarthi.ai,2017.0,Bangalore,Ai startup,Multilingual conversational enterprise ai platform for omnichannel automation of customer journeys in the user's native language.,"Piyush dangaich, sameer sinha, sangram sabat, vishwa nath jha",Nvidia inception,undisclosed,Seed
Murf.ai,2020.0,Bangalore,Saas startup,"Murf ai is working on simplifying voice audio and making high-quality voice overs accessible to everyone, using artificial intelligence.","Sneha roy, ankur edkie, divyanshu pandey",Elevation capital,1500000,Seed
Mydentalplan,2014.0,Bangalore,Helathcare,My dental plan provides dental care packages and services.,"Dr mohender narula, dr anandkrishna, dr girish rao",Safe planet medicare,"700,000",Seed
Mybyk,2014.0,Ahmadabad,Rental,Mybyk is an app that provides premium bicycle sharing and rental service.,Arjit soni,Avon cycles,1000000,Pre-series a
Myelin foundry,2019.0,Bangalore,Ai startup,"Myelin foundry is a deep tech product start-up transforming human experiences and industry outcomes by building artificial intelligence algorithms on video, voice, and sensor data, for consumer edge devices","Gopichand katragadda, ganesh suryanarayanan, aditi olemann",Beyond next ventures,"1,000,000",Pre-series a
Myglamm,2015.0,Mumbai,Beauty products,Myglamm is a direct-to-consumer brand of award winning european beauty products.,Darpan sanghvi,Bessemer venture partners,"20,000,000",Series c
